location,date,mort
BE100,2017-02-18,29
BE100,2017-02-19,29
BE100,2017-02-20,27
BE100,2017-02-21,26
BE100,2017-02-22,31
BE100,2017-02-23,33
BE100,2017-02-24,34
BE100,2017-02-25,21
BE100,2017-02-26,25
BE100,2017-02-27,27
BE100,2017-02-28,26
BE100,2017-03-01,23
BE100,2017-03-02,27
BE100,2017-03-03,29
BE100,2017-03-04,27
BE100,2017-03-05,28
BE100,2017-03-06,27
BE100,2017-03-07,32
BE100,2017-03-08,25
BE100,2017-03-09,27
BE100,2017-03-10,30
BE100,2017-03-11,23
BE100,2017-03-12,30
BE100,2017-03-13,21
BE100,2017-03-14,18
BE100,2017-03-15,26
BE100,2017-03-16,27
BE100,2017-03-17,26
BE100,2017-03-18,30
BE100,2017-03-19,30
BE100,2017-03-20,28
BE100,2017-03-21,20
BE100,2017-03-22,19
BE100,2017-03-23,26
BE100,2017-03-24,21
BE100,2017-03-25,26
BE100,2017-03-26,24
BE100,2017-03-27,13
BE100,2017-03-28,27
BE100,2017-03-29,16
BE100,2017-03-30,35
BE100,2017-03-31,29
BE100,2017-04-01,20
BE100,2017-04-02,24
BE100,2017-04-03,21
BE100,2017-04-04,18
BE100,2017-04-05,26
BE100,2017-04-06,14
BE100,2017-04-07,24
BE100,2017-04-08,27
BE100,2017-04-09,17
BE100,2017-04-10,21
BE100,2017-04-11,32
BE100,2017-04-12,23
BE100,2017-04-13,21
BE100,2017-04-14,24
BE100,2017-04-15,16
BE100,2017-04-16,12
BE100,2017-04-17,20
BE100,2017-04-18,25
BE100,2017-04-19,21
BE100,2017-04-20,22
BE100,2017-04-21,25
BE100,2017-04-22,23
BE100,2017-04-23,19
BE100,2017-04-24,28
BE100,2017-04-25,13
BE100,2017-04-26,22
BE100,2017-04-27,18
BE100,2017-04-28,22
BE100,2017-04-29,18
BE100,2017-04-30,36
BE100,2017-05-01,19
BE100,2017-05-02,21
BE100,2017-05-03,33
BE100,2017-05-04,30
BE100,2017-05-05,28
BE100,2017-05-06,22
BE100,2017-05-07,27
BE100,2017-05-08,20
BE100,2017-05-09,32
BE100,2017-05-10,23
BE100,2017-05-11,25
BE100,2017-05-12,30
BE100,2017-05-13,25
BE100,2017-05-14,21
BE100,2017-05-15,32
BE100,2017-05-16,23
BE100,2017-05-17,26
BE100,2017-05-18,24
BE100,2017-05-19,28
BE100,2017-05-20,19
BE100,2017-05-21,23
BE100,2017-05-22,27
BE100,2017-05-23,23
BE100,2017-05-24,23
BE100,2017-05-25,22
BE100,2017-05-26,16
BE100,2017-05-27,19
BE100,2017-05-28,14
BE100,2017-05-29,33
BE100,2017-05-30,19
BE100,2017-05-31,20
BE100,2017-06-01,26
BE100,2017-06-02,29
BE100,2017-06-03,23
BE100,2017-06-04,23
BE100,2017-06-05,11
BE100,2017-06-06,23
BE100,2017-06-07,24
BE100,2017-06-08,29
BE100,2017-06-09,11
BE100,2017-06-10,16
BE100,2017-06-11,16
BE100,2017-06-12,18
BE100,2017-06-13,24
BE100,2017-06-14,23
BE100,2017-06-15,16
BE100,2017-06-16,26
BE100,2017-06-17,23
BE100,2017-06-18,26
BE100,2017-06-19,23
BE100,2017-06-20,23
BE100,2017-06-21,23
BE100,2017-06-22,34
BE100,2017-06-23,37
BE100,2017-06-24,20
BE100,2017-06-25,23
BE100,2017-06-26,23
BE100,2017-06-27,24
BE100,2017-06-28,31
BE100,2017-06-29,31
BE100,2017-06-30,15
BE100,2017-07-01,20
BE100,2017-07-02,21
BE100,2017-07-03,35
BE100,2017-07-04,22
BE100,2017-07-05,27
BE100,2017-07-06,25
BE100,2017-07-07,21
BE100,2017-07-08,25
BE100,2017-07-09,25
BE100,2017-07-10,33
BE100,2017-07-11,19
BE100,2017-07-12,35
BE100,2017-07-13,22
BE100,2017-07-14,29
BE100,2017-07-15,22
BE100,2017-07-16,24
BE100,2017-07-17,27
BE100,2017-07-18,23
BE100,2017-07-19,29
BE100,2017-07-20,17
BE100,2017-07-21,19
BE100,2017-07-22,22
BE100,2017-07-23,22
BE100,2017-07-24,14
BE100,2017-07-25,17
BE100,2017-07-26,20
BE100,2017-07-27,20
BE100,2017-07-28,22
BE100,2017-07-29,17
BE100,2017-07-30,29
BE100,2017-07-31,21
BE100,2017-08-01,29
BE100,2017-08-02,24
BE100,2017-08-03,22
BE100,2017-08-04,23
BE100,2017-08-05,16
BE100,2017-08-06,21
BE100,2017-08-07,29
BE100,2017-08-08,27
BE100,2017-08-09,24
BE100,2017-08-10,21
BE100,2017-08-11,27
BE100,2017-08-12,13
BE100,2017-08-13,21
BE100,2017-08-14,23
BE100,2017-08-15,23
BE100,2017-08-16,24
BE100,2017-08-17,23
BE100,2017-08-18,23
BE100,2017-08-19,25
BE100,2017-08-20,17
BE100,2017-08-21,24
BE100,2017-08-22,33
BE100,2017-08-23,38
BE100,2017-08-24,26
BE100,2017-08-25,24
BE100,2017-08-26,20
BE100,2017-08-27,22
BE100,2017-08-28,22
BE100,2017-08-29,19
BE100,2017-08-30,26
BE100,2017-08-31,18
BE100,2017-09-01,25
BE100,2017-09-02,20
BE100,2017-09-03,27
BE100,2017-09-04,26
BE100,2017-09-05,20
BE100,2017-09-06,24
BE100,2017-09-07,25
BE100,2017-09-08,31
BE100,2017-09-09,34
BE100,2017-09-10,16
BE100,2017-09-11,23
BE100,2017-09-12,23
BE100,2017-09-13,23
BE100,2017-09-14,17
BE100,2017-09-15,19
BE100,2017-09-16,24
BE100,2017-09-17,15
BE100,2017-09-18,23
BE100,2017-09-19,27
BE100,2017-09-20,15
BE100,2017-09-21,34
BE100,2017-09-22,27
BE100,2017-09-23,23
BE100,2017-09-24,18
BE100,2017-09-25,23
BE100,2017-09-26,30
BE100,2017-09-27,28
BE100,2017-09-28,22
BE100,2017-09-29,19
BE100,2017-09-30,25
BE100,2017-10-01,22
BE100,2017-10-02,26
BE100,2017-10-03,16
BE100,2017-10-04,19
BE100,2017-10-05,20
BE100,2017-10-06,20
BE100,2017-10-07,18
BE100,2017-10-08,22
BE100,2017-10-09,28
BE100,2017-10-10,23
BE100,2017-10-11,24
BE100,2017-10-12,29
BE100,2017-10-13,28
BE100,2017-10-14,23
BE100,2017-10-15,21
BE100,2017-10-16,26
BE100,2017-10-17,24
BE100,2017-10-18,23
BE100,2017-10-19,30
BE100,2017-10-20,25
BE100,2017-10-21,26
BE100,2017-10-22,25
BE100,2017-10-23,24
BE100,2017-10-24,25
BE100,2017-10-25,33
BE100,2017-10-26,18
BE100,2017-10-27,21
BE100,2017-10-28,24
BE100,2017-10-29,20
BE100,2017-10-30,25
BE100,2017-10-31,31
BE100,2017-11-01,26
BE100,2017-11-02,20
BE100,2017-11-03,30
BE100,2017-11-04,23
BE100,2017-11-05,34
BE100,2017-11-06,20
BE100,2017-11-07,27
BE100,2017-11-08,24
BE100,2017-11-09,29
BE100,2017-11-10,14
BE100,2017-11-11,32
BE100,2017-11-12,25
BE100,2017-11-13,24
BE100,2017-11-14,30
BE100,2017-11-15,17
BE100,2017-11-16,24
BE100,2017-11-17,21
BE100,2017-11-18,28
BE100,2017-11-19,18
BE100,2017-11-20,31
BE100,2017-11-21,27
BE100,2017-11-22,22
BE100,2017-11-23,21
BE100,2017-11-24,31
BE100,2017-11-25,28
